state	tree1	tree2	MatchingSplit	R-F	Quartet
1	0	1	58.0	14.0	1561.0
2	0	2	68.0	14.0	1633.0
3	0	3	62.0	14.0	1632.0
4	0	4	66.0	14.0	1661.0
5	0	5	64.0	14.0	1663.0
6	0	6	67.0	14.0	1643.0
7	0	7	62.0	14.0	1682.0
8	0	8	61.0	13.0	1622.0
9	0	9	65.0	14.0	1671.0
10	0	10	68.0	14.0	1655.0
11	1	2	54.0	14.0	1429.0
12	1	3	48.0	14.0	1434.0
13	1	4	48.0	14.0	1431.0
14	1	5	50.0	14.0	1463.0
15	1	6	54.0	14.0	1468.0
16	1	7	50.0	14.0	1469.0
17	1	8	45.0	13.0	1395.0
18	1	9	49.0	14.0	1454.0
19	1	10	52.0	14.0	1444.0
20	2	3	24.0	10.0	552.0
21	2	4	20.0	10.0	476.0
22	2	5	24.0	11.0	554.0
23	2	6	23.0	11.0	543.0
24	2	7	22.0	10.0	487.0
25	2	8	27.0	11.0	568.0
26	2	9	21.0	10.0	483.0
27	2	10	20.0	9.0	448.0
28	3	4	8.0	2.0	104.0
29	3	5	14.0	7.0	258.0
30	3	6	19.0	6.0	259.0
31	3	7	14.0	6.0	230.0
32	3	8	15.0	7.0	303.0
33	3	9	11.0	4.0	144.0
34	3	10	16.0	4.0	180.0
35	4	5	10.0	6.0	244.0
36	4	6	13.0	5.0	200.0
37	4	7	10.0	5.0	216.0
38	4	8	13.0	6.0	244.0
39	4	9	3.0	2.0	40.0
40	4	10	8.0	2.0	76.0
41	5	6	9.0	2.0	98.0
42	5	7	8.0	4.0	186.0
43	5	8	15.0	5.0	207.0
44	5	9	7.0	4.0	204.0
45	5	10	12.0	5.0	194.0
46	6	7	13.0	4.0	196.0
47	6	8	16.0	4.0	153.0
48	6	9	10.0	3.0	160.0
49	6	10	7.0	4.0	150.0
50	7	8	13.0	6.0	254.0
51	7	9	7.0	4.0	190.0
52	7	10	12.0	4.0	152.0
53	8	9	14.0	6.0	257.0
54	8	10	15.0	5.0	194.0
55	9	10	9.0	3.0	90.0
---------
Summary:
Name	Avg	Std	Min	Max	Count
MatchingSplit	28.963636363636365	21.65175922843108	3.0	68.0	55
R-F	8.563636363636364	4.467106594017435	2.0	14.0	55
Quartet	703.709090909091	627.9034573368242	40.0	1682.0	55
